Qid,Name,League
Q352251,Adana Demirspor,Turkey
Q18723,Queens Park Rangers F.C.,United Kingdom
Q922698,Italy national under-21 football team,National
Q62024581,U.C. Sampdoria under-19,Italy
Q1056821,U.S. Città di Pontedera S.S.D.,Italy
Q2756,Siena FC,Italy
Q1279917,Pistoiese FC,Italy
Q650365,Carrarese Calcio,Italy
Q6664,AC Cesena,Italy
Q298333,Lucchese 1905,Italy
Q130582,China men's national football team,National
Q1135735,CS Corvinul Hunedoara,Romania
Q179075,FC Dynamo Kyiv,Ukraine
Q168397,Romania men's national association football team,National
Q13385,SPAL,Italy
Q56025745,Juventus F.C. Next Gen,Italy
Q1398111,Fatih Karagümrük S.K.,Turkey
Q16320,Club Atlético Peñarol,Uruguay
Q297680,A.S.G. Nocerina,Italy
Q8615,Spezia Calcio,Italy
Q584858,Halmstads BK,Sweden
Q19456,Bristol City F.C.,United Kingdom
Q260559,Örebro SK,Sweden
Q204881,Malmö FF,Sweden
Q335195,Neuchâtel Xamax FCS,Switzerland
Q165141,Switzerland men's national football team,National
Q19446,Blackburn Rovers F.C.,United Kingdom
Q201360,Grasshopper Club Zürich,Switzerland
Q188430,F.C. Copenhagen,Denmark
Q235910,Emirates men's national football team,National
Q211177,Viking FK,Norway
Q186532,Finland men's national football team,National
Q18744,West Bromwich Albion F.C.,United Kingdom
Q1082282,S.S.D. Licata 1931,Italy
Q139399,Calcio Foggia 1920,Italy
Q29390,A.C.R. Messina,Italy
Q298217,U.S. Avellino 1912,Italy
Q2710,Delfino Pescara 1936,Italy
Q633521,FC Lugano,Switzerland
Q1128631,Leeds United F.C.,United Kingdom
Q134916,Uruguay men's national football team,National
Q1474354,Stade Français Football,France
Q124518,CD Málaga,Spain
Q216510,C.F. Os Belenenses,Portugal
Q289713,Rimini FC,Italy
Q19615,Scunthorpe United F.C.,United Kingdom
Q622430,Djurgårdens IF Fotboll,Sweden
Q18732,Southampton F.C.,United Kingdom
Q289656,A.C. Prato,Italy
Q621259,S.C. Olhanense,Portugal
Q243235,Associação Académica de Coimbra – O.A.F.,Portugal
Q75684,S.C. Braga,Portugal
Q223450,Vitória S.C.,Portugal
Q6703,Empoli FC,Italy
Q20706646,A.C. Ancona,Italy
Q73965,Al Hilal SFC,Saudi Arabia
Q1136016,Cosenza Calcio,Italy
Q759482,U.S. Cremonese,Italy
Q459794,Piacenza Calcio,Italy
Q136433,PFC CSKA Sofia,Bulgaria
Q289029,SSC Ancona,Italy
Q298314,A.S. Gubbio 1910,Italy
Q6641,SSC Bari,Italy
Q321061,FC Sion,Switzerland
Q704,Olympique Lyonnais,France
Q8603,US Sassuolo Calcio,Italy
Q3831677,A.S.D Gioiese 1918,Italy
Q1052365,Città di Acireale 1946,Italy
Q3607383,ASD Akragas 2018,Italy
Q27971,Tunisia men's national football team,National
Q276089,Libya men's national football team,National
Q8835,RCD Mallorca,Spain
Q79800,Argentina men's national association football team,National
Q80899,Unión de Santa Fe,Argentina
Q170703,Boca Juniors,Argentina
Q220621,Argentinos Juniors,Argentina
Q215163,Club Atlético Vélez Sarsfield,Argentina
Q1022904,Club Atlético Atlanta,Argentina
Q1424072,Independiente Santa Fe,Colombia
Q18659,Swansea City A.F.C.,United Kingdom
Q1380971,Viareggio Calcio,Italy
Q1886341,A.S.D. Casertana Calcio,Italy
Q1785447,S.S. Sambenedettese Calcio,Italy
Q6630,Ascoli Calcio 1898 FC,Italy
Q8643,Vicenza Calcio,Italy
Q19568,AFC Bournemouth,United Kingdom
Q8723,Real Betis Balompié,Spain
Q272097,Syria men's national football team,National
Q19595,Leyton Orient F.C.,United Kingdom
Q190526,BSC Young Boys,Switzerland
Q430993,Mantova FC,Italy
Q16848949,Cesena FC,Italy
Q8416,Novara Calcio,Italy
Q2037,AC ChievoVerona,Italy
Q56542463,LR Vicenza,Italy
Q297430,S.S. Arezzo,Italy
Q19589,Doncaster Rovers F.C.,United Kingdom
Q1120838,Como 1907,Italy
Q752483,U.C. AlbinoLeffe,Italy
Q611222,Treviso F.B.C. 1993,Italy
Q13381,U.S. Triestina Calcio 1918,Italy
Q8408,Modena F.C.,Italy
Q6721,U.S. Grosseto 1912,Italy
Q257078,Pordenone FC,Italy
Q4005113,U.S. Darfo Boario S.S.D.,Italy
Q172969,FC Shakhtar Donetsk,Ukraine
Q19453,Brighton & Hove Albion F.C.,United Kingdom
Q19444,Birmingham City F.C.,United Kingdom
Q645684,C.A. Bella Vista,Uruguay
Q2442864,Uruguay national under-20 football team,National
Q584316,Danubio F.C.,Uruguay
Q872702,Montevideo Wanderers Fútbol Club,Uruguay
Q4348411,Penarol Atlético Clube,Brazil
Q663400,Deportivo Cali,Colombia
Q271574,Real Oviedo,Spain
Q56542608,Football Club Bassano 1903,Italy
Q8648,Lanciano Calcio 1920,Italy
Q2300305,Aldershot F.C.,United Kingdom
Q297416,A.S.D. Biellese 1902,Italy
Q8428,Calcio Padova,Italy
Q205998,CFR Cluj,Romania
Q775805,Italy women's national football team,National
Q3626520,Associazione Calcistica Dilettantistica Rapallo Ruentes 1914,Italy
Q2276413,Virtus Entella,Italy
Q1451177,A.S.D. Centese 1913,Italy
Q3763940,Giarre F.C.,Italy
Q80958,Botafogo F.R.,Brazil
Q18129096,FC Voluntari,Romania
Q16838020,CS Universitatea Craiova,Romania
Q245162,FC Rapid București,Romania
Q298285,AS Corbeil,France
Q19521,AS Saint-Étienne,France
Q503317,Dijon FCO,France
Q210864,Le Mans F.C.,France
Q19516,Lille OSC,France
Q166776,Belgium men's national football team,National
Q2297920,UE Sants,Spain
Q576521,Terrassa FC,Spain
Q12260,Centre d'Esports Sabadell Futbol Club,Spain
Q289112,AC Bellinzona,Switzerland
Q6748,S.S. Juve Stabia,Italy
Q289339,A.C. Lumezzane,Italy
Q2087988,A.C. Sansovino,Italy
Q289696,A.S.D. SanGiovanniValdarno,Italy
Q16348,FC Alessandria,Italy
Q1508747,Sorrento Calcio 1945,Italy
Q193481,AC Sparta Prague,Czech Republic
Q455971,Esteghlal F.C.,Iran
Q6673,Associazione Sportiva Cittadella,Italy
Q8633,Varese Calcio,Italy
Q193749,Legia Warsaw,Poland
Q1323096,S.U. 1º de Dezembro,Portugal
Q3349296,Odivelas F.C.,Portugal
Q2980334,C.D. Pinhalnovense,Portugal
Q1023163,Clube Desportivo das Aves,Portugal
Q371136,F.C. Paços de Ferreira,Portugal
Q3747548,ASD FBC Saronno 1910,Italy
Q1932104,Al NSR SC,Libya
Q429501,Al-ittihad,Libya
Q2647257,U.S.D. Lavagnese 1919,Italy
Q3642591,Borgosesia Calcio,Italy
Q3149156,Imolese Calcio 1919,Italy
Q1512790,US Fiorenzuola 1922,Italy
Q174512,Slovakia men's national football team,National
,,
,,
