name,wikidata.id,birthdate,nationality,nationality2
Frank Soo,Q1444249,1914-03-12T00:00:00Z,United Kingdom,
Bill Dodgin,Q2298680,1909-04-17T00:00:00Z,United Kingdom,
Roberto Sensini,Q369133,1966-10-12T00:00:00Z,Argentina,
Ferruccio Valcareggi,Q1408093,1919-02-12T00:00:00Z,Italy,
Sérgio Conceição,Q317298,1974-11-15T00:00:00Z,Portugal,
Alberto Zaccheroni,Q316633,1953-04-01T00:00:00Z,Italy,
Luciano Spalletti,Q310813,1959-03-07T00:00:00Z,Italy,
Sebastião Lazaroni,Q552799,1950-09-25T00:00:00Z,Brazil,
Marco Tardelli,Q312626,1954-09-24T00:00:00Z,Italy,
Serse Cosmi,Q934830,1958-05-05T00:00:00Z,Italy,
Nevio Scala,Q505701,1947-11-22T00:00:00Z,Italy,
Arrigo Sacchi,Q294259,1946-04-01T00:00:00Z,Italy,
Simone Inzaghi,Q314670,1976-04-05T00:00:00Z,Italy,
Luigi Simoni,Q2537282,1939-01-22T00:00:00Z,Italy,
Giuseppe Papadopulo,Q1528558,1948-02-02T00:00:00Z,Italy,
Lajos Czeizler,Q1376936,1893-10-05T00:00:00Z,Hungary,
Massimo Oddo,Q125438,1976-06-14T00:00:00Z,Italy,
Carlo Mazzone,Q1042327,1937-03-19T00:00:00Z,Italy,
Čestmír Vycpálek,Q341391,1921-05-15T00:00:00Z,Czech Republic,
Fabio Grosso,Q230529,1977-11-28T00:00:00Z,Italy,
Cristian Brocchi,Q311619,1976-01-30T00:00:00Z,Italy,
Franco Scoglio,Q980528,1941-05-02T00:00:00Z,Italy,
Juan Carlos Lorenzo,Q967859,1922-10-27T00:00:00Z,Argentina,
Lorenzo D'Anna,Q3836930,1972-01-29T00:00:00Z,Italy,
Luciano Spinosi,Q1337309,1950-05-09T00:00:00Z,Italy,
Francesco Guidolin,Q557760,1955-10-03T00:00:00Z,Italy,
Nereo Rocco,Q354475,1912-05-20T00:00:00Z,Italy,
Heriberto Herrera,Q929079,1926-04-24T00:00:00Z,Spain,Paraguay
Nedo Sonetti,Q1080952,1941-02-25T00:00:00Z,Italy,
Alec Stock,Q2066281,1917-03-30T00:00:00Z,United Kingdom,
Héctor Cúper,Q314599,1955-11-16T00:00:00Z,Argentina,
Fabio Liverani,Q381262,1976-04-29T00:00:00Z,Italy,
Bruno Giordano,Q613257,1956-08-13T00:00:00Z,Italy,
Armando Picchi,Q678754,1935-06-20T00:00:00Z,Italy,
Mario Corso,Q388959,1941-08-25T00:00:00Z,Italy,
Umberto Caligaris,Q68067,1901-07-26T00:00:00Z,Italy,
Milovan Ćirić,Q2610556,1918-02-12T00:00:00Z,Yugoslavia,
Vujadin Boškov,Q373776,1931-05-16T00:00:00Z,Serbia,
Domenico Di Carlo,Q507043,1964-03-23T00:00:00Z,Italy,
Antonio Conte,Q26580,1969-07-31T00:00:00Z,Italy,
George Raynor,Q1508164,1907-01-13T00:00:00Z,United Kingdom,
Gianluca Festa,Q1157089,1969-03-15T00:00:00Z,Italy,
György Sárosi,Q502942,1912-09-16T00:00:00Z,Hungary,
Aldo Olivieri,Q967005,1910-10-02T00:00:00Z,Italy,
Raffaele Palladino,Q282551,1984-04-17T00:00:00Z,Italy,
Cristian Bucchi,Q1140277,1977-05-30T00:00:00Z,Italy,
Fabio Pecchia,Q1087530,1973-08-24T00:00:00Z,Italy,
Ivan Jurić,Q556688,1975-08-25T00:00:00Z,Croatia,
Gianpiero Marini,Q705935,1951-02-25T00:00:00Z,Italy,
Eraldo Monzeglio,Q535475,1906-06-05T00:00:00Z,Italy,
Attila Sallustro,Q613881,1908-12-15T00:00:00Z,Italy,Paraguay
Amedeo Amadei,Q460577,1921-07-26T00:00:00Z,Italy,
Luigi Bertolini,Q67985,1904-09-13T00:00:00Z,Italy,
Marco Giampaolo,Q2704759,1967-08-02T00:00:00Z,Italy,
Pasquale Marino,Q2305065,1962-07-13T00:00:00Z,Italy,
Emiliano Mondonico,Q3052298,1947-03-09T00:00:00Z,Italy,
Luigi Radice,Q1280931,1935-01-15T00:00:00Z,Italy,
Osvaldo Bagnoli,Q524615,1935-07-03T00:00:00Z,Italy,
Ottavio Bianchi,Q645692,1943-10-06T00:00:00Z,Italy,
Luis Diego López,Q954307,1974-08-22T00:00:00Z,Uruguay,
Bülent Eken,Q945940,1923-10-26T00:00:00Z,Turkey,
Attilio Tesser,Q758154,1958-06-10T00:00:00Z,Italy,
Stefano Colantuono,Q1353173,1962-10-23T00:00:00Z,Italy,
Luigi Cagni,Q1490332,1950-06-14T00:00:00Z,Italy,
Delio Rossi,Q370910,1960-01-26T00:00:00Z,Italy,
Stefano Pioli,Q923088,1965-10-20T00:00:00Z,Italy,
Daniele Arrigoni,Q986586,1959-08-28T00:00:00Z,Italy,
Mario Beretta,Q355949,1959-10-30T00:00:00Z,Italy,
Walter Mazzarri,Q370838,1961-10-01T00:00:00Z,Italy,
Giovanni Galeone,Q3107201,1941-01-25T00:00:00Z,Italy,
Giuseppe Materazzi,Q868864,1946-01-05T00:00:00Z,Italy,
Roberto De Zerbi,Q2032119,1979-06-06T00:00:00Z,Italy,
Luis Carniglia,Q516363,1917-10-04T00:00:00Z,Argentina,
Renzo Ulivieri,Q3933080,1941-02-02T00:00:00Z,Italy,
Giuseppe Iachini,Q604969,1964-05-07T00:00:00Z,Italy,
Vincenzo Italiano,Q1091404,1977-12-10T00:00:00Z,Italy,
Franco Colomba,Q430669,1955-02-06T00:00:00Z,Italy,
Gabriele Cioffi,Q1615609,1975-09-07T00:00:00Z,Italy,
Alessandro Agostini,Q869044,1979-07-23T00:00:00Z,Italy,
Alberto Malesani,Q957291,1954-06-05T00:00:00Z,Italy,
Paolo Zanetti,Q1494098,1982-12-16T00:00:00Z,Italy,
Óscar Tabárez,Q15149,1947-03-03T00:00:00Z,Uruguay,
Alberto Cavasin,Q1062458,1956-01-09T00:00:00Z,Italy,
William Garbutt,Q1890969,1883-01-09T00:00:00Z,United Kingdom,
Gianni De Biasi,Q562201,1956-06-16T00:00:00Z,Italy,
Fernando Orsi,Q1022455,1959-09-12T00:00:00Z,Italy,
Ljubiša Broćić,Q925027,1911-10-03T00:00:00Z,Socialist Federal Republic of Yugoslavia,
Eusebio Di Francesco,Q396154,1969-09-08T00:00:00Z,Italy,
Valter Bonacina,Q1448449,1964-07-30T00:00:00Z,Italy,
Corrado Orrico,Q3694289,1940-04-16T00:00:00Z,Italy,
Fabrizio Castori,Q3737975,1954-07-11T00:00:00Z,Italy,
Gian Piero Gasperini Jotolon,Q367846,1958-01-26T00:00:00Z,Italy,
Edoardo Reja,Q2327467,1945-10-10T00:00:00Z,Italy,
Giovanni Stroppa,Q2656692,1968-01-24T00:00:00Z,Italy,
Andrea Sottil,Q547067,1974-01-04T00:00:00Z,Italy,
Silvio Baldini,Q3960825,1958-09-11T00:00:00Z,Italy,
William Chalmers,Q2445379,1907-07-24T00:00:00Z,United Kingdom,
Federico Munerati,Q1381448,1901-10-16T00:00:00Z,Italy,
József Viola,Q919590,1896-06-10T00:00:00Z,Hungary,
Salvatore Bocchetti,Q314744,1986-11-30T00:00:00Z,Italy,
Carlo Parola,Q1042372,1921-09-20T00:00:00Z,Italy,
Andrea Mandorlini,Q494319,1960-07-17T00:00:00Z,Italy,
Gyula Feldmann,Q572383,1890-11-16T00:00:00Z,Hungary,
Andrea Soncin,Q2846417,1978-09-05T00:00:00Z,Italy,
Gian Piero Ventura,Q2631653,1948-01-14T00:00:00Z,Italy,
Armando Castellazzi,Q678243,1904-02-07T00:00:00Z,Italy,
Bruno Pesaola,Q983138,1925-07-28T00:00:00Z,Italy,Argentina
Jarbas Faustinho,Q2255483,1939-09-21T00:00:00Z,Brazil,
Paulo Amaral,Q1370535,1923-10-18T00:00:00Z,Brazil,
Carlo Carcano,Q917336,1891-02-26T00:00:00Z,Italy,
Cristiano Bergodi,Q545682,1964-10-14T00:00:00Z,Italy,
Rudi Garcia,Q923131,1964-02-20T00:00:00Z,France,
Giuseppe Chiappella,Q1385297,1924-09-08T00:00:00Z,Italy,
András Kuttik,Q1471056,1896-05-23T00:00:00Z,Hungary,
Giancarlo Camolese,Q726034,1961-02-25T00:00:00Z,Italy,
Hermann Felsner,Q681381,1889-04-01T00:00:00Z,Austria,
Oronzo Pugliese,Q2409891,1910-04-05T00:00:00Z,Italy,
Guido Ara,Q986195,1888-06-28T00:00:00Z,Italy,
Luigi De Canio,Q1279343,1957-09-26T00:00:00Z,Italy,
Luciano Chiarugi,Q1613796,1947-01-13T00:00:00Z,Italy,
Angelo Gregucci,Q742534,1964-06-10T00:00:00Z,Italy,
Davide Ballardini,Q1024171,1964-01-06T00:00:00Z,Italy,
Massimiliano Allegri,Q354529,1967-08-11T00:00:00Z,Italy,
János Nehadoma,Q1120820,1901-08-20T00:00:00Z,Hungary,
Mario Magnozzi,Q2591305,1902-03-10T00:00:00Z,Italy,
Ezio Sella,Q3736419,1956-04-11T00:00:00Z,Italy,
Camillo Achilli,Q868204,1921-08-21T00:00:00Z,Italy,
Nevio Orlandi,Q3875165,1954-01-30T00:00:00Z,Italy,
Luis Miró,Q1637407,1913-03-03T00:00:00Z,Spain,
Pierpaolo Bisoli,Q1403552,1966-11-20T00:00:00Z,Italy,
Andrea Manzo,Q3615831,1961-11-05T00:00:00Z,Italy,
Blagoje Marjanović,Q2288163,1907-09-09T00:00:00Z,Yugoslavia,
Leonardo Menichini,Q3830405,1953-12-11T00:00:00Z,Italy,
Vladimir Petković,Q123937,1963-08-15T00:00:00Z,Switzerland,Bosnia and Herzegovina
William Aitken,Q658644,1894-02-02T00:00:00Z,United Kingdom,
Gianluca Atzori,Q986739,1971-03-06T00:00:00Z,Italy,
Vittorio Russo,Q4015524,1939-02-16T00:00:00Z,Italy,
Marco Baroni,Q1317738,1963-09-11T00:00:00Z,Italy,
Massimo Rastelli,Q3851429,1968-12-27T00:00:00Z,Italy,
Giuseppe Marchioro,Q3770903,1936-03-13T00:00:00Z,Italy,
Enzo Ferrari,Q3726522,1942-10-21T00:00:00Z,Italy,
Karl Stürmer,Q671716,1882-10-09T00:00:00Z,Austria,
Otto Krappan,Q280051,1886-10-11T00:00:00Z,Hungary,
Claudio Maselli,Q3680126,1950-09-21T00:00:00Z,Italy,
Franco Pedroni,Q3751508,1926-09-13T00:00:00Z,Italy,
Giulio Corsini,Q964857,1933-09-28T00:00:00Z,Italy,
Giacomo Blason,Q1445699,1914-03-19T00:00:00Z,Italy,
Fabio Pisacane,Q3737807,1986-01-28T00:00:00Z,Italy,
Aldo Agroppi,Q578673,1944-04-14T00:00:00Z,Italy,
Antonio Busini,Q677456,1904-07-05T00:00:00Z,Italy,
Giancarlo Cadé,Q1489747,1930-02-27T00:00:00Z,Italy,
Davide Nicola,Q3019103,1973-03-05T00:00:00Z,Italy,
Massimo Silva,Q3851476,1951-08-24T00:00:00Z,Italy,
Paolo Todeschini,Q3894528,1920-09-22T00:00:00Z,Italy,
Maurizio Sarri,Q3852721,1959-01-10T00:00:00Z,Italy,
Béla Guttmann,Q361027,1899-01-27T00:00:00Z,Hungary,
Giuseppe Sannino,Q519550,1957-04-30T00:00:00Z,Italy,
Devis Mangia,Q956899,1974-06-06T00:00:00Z,Italy,
Andrea Stramaccioni,Q317599,1976-01-09T00:00:00Z,Italy,
Vincenzo Guerini,Q4013321,1953-10-30T00:00:00Z,Italy,
Rolando Maran,Q3940276,1963-07-14T00:00:00Z,Italy,
Julio Velázquez,Q901237,1981-10-05T00:00:00Z,Spain,
Kosta Runjaić,Q1785131,1971-06-04T00:00:00Z,Germany,
Ivo Pulga,Q3804918,1964-06-20T00:00:00Z,Italy,
Aurelio Andreazzoli,Q4734615,1953-11-05T00:00:00Z,Italy,
Paulo Fonseca,Q10346582,1973-03-05T00:00:00Z,Portugal,
Massimo Giacomini,Q3851279,1939-08-14T00:00:00Z,Italy,
Moreno Longo,Q3862936,1976-02-14T00:00:00Z,Italy,
Paulo Innocenti,Q388752,1902-03-15T00:00:00Z,Italy,Brazil
Gianfranco Bellotto,Q1403670,1949-07-02T00:00:00Z,Italy,
Giovanni Martusciello,Q3767704,1971-08-19T00:00:00Z,Italy,
Leonardo Semplici,Q26696437,1967-07-18T00:00:00Z,Italy,
Diego Bortoluzzi,Q1464710,1966-09-23T00:00:00Z,Italy,
Stefano Vecchi,Q15706885,1971-07-20T00:00:00Z,Italy,
Eugenio Bersellini,Q1407829,1936-06-10T00:00:00Z,Italy,
Ilario Castagner,Q1337031,1940-12-18T00:00:00Z,Italy,
Ignác Molnár,Q680285,1901-10-01T00:00:00Z,Hungary,
Marco Zaffaroni,Q3846591,1969-01-20T00:00:00Z,Italy,
Alessio Dionisi,Q65127311,1980-04-01T00:00:00Z,Italy,
Luca Gotti,Q3838152,1967-09-13T00:00:00Z,Italy,
Alexander Blessin,Q1560347,1973-05-28T00:00:00Z,Germany,
Massimiliano Alvini,Q98581426,1970-04-20T00:00:00Z,Italy,
Gianni Di Marzio,Q3763498,1940-01-08T00:00:00Z,Italy,
Manlio Scopigno,Q1784453,1925-11-20T00:00:00Z,Italy,
Francesco Calzona,Q113652572,1968-10-24T00:00:00Z,Italy,
Gaetano Salvemini,Q3757114,1942-01-15T00:00:00Z,Italy,
Daniele Baldini,Q988932,1964-02-21T00:00:00Z,Italy,
Hugo Lamanna,Q3787494,1913-03-03T00:00:00Z,Argentina,
,,,,
